Product Name,Price Before,Price After,Discount
Ramtons RM/399-corded Electric Kettle 1.7 Ltrs- White (1YR WRTY),,"1,329",29%
Poshy Poshy Roll Poa 10s Wrapped,,"1,499",No discount
Danone Danone Cow & Gate First – 900g,,"2,999",18%
Ramtons RM/585- Oil Free Digital Air Fryer - Black (1YR WRTY),,"11,537",13%
Ramtons RM/609-cordless Electric Kettle 1.7 Litres- Black & Red (1YR WRTY),,"1,858",12%
"Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow, (1YR WRTY)",,"1,549",48%
"Nunix NU-M6 3.1CH Mini Home Theater Sub Woofer Speaker System, 2800W – Black",,"6,999",6%
Sonar C7 Hot And Normal Water Dispenser -blue And White (1YR WRTY),,"3,499",30%
Ramtons RF/334 - Single Door Refrigerator - 85Liters Dark Silver(1 YR WRTY),,"24,950",No discount
Rashnik TV Wall Mount TV Stand For 40” – 80”,,549,10%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,,"12,699",5%
"Vision Plus Power Bank 10000mAh VPPB10D - Black, (2YRS WRTY)",,"1,599",41%
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY) (1YR WRTY),,"16,499",28%
Vision Plus Moove Neckband - Black,,"1,199",52%
Vision Plus Fast Charger - Black,,699,49%
Maybelline Superstay Matte Ink Liquid Lipstick - 20 Pioneer,,"1,440",40%
150W LED UV Nail Gel Polish Dryer Lamp Light Machine 4 Timers Nail Dryer,,"1,824",44%
Ushas Brow Fixing Soap Strawberry Makeup Eyebrows Gel Shaping wax Kit,,270,46%
Mascara/ Eyeliner,,180,28%
Maybelline Fit Me Concealer - 40 Caramel,,"1,045",No discount
Maybelline Superstay Vinyl  Ink 55 Royal,,"1,677",40%
Fit Colors Liquid Foundation Matte & Poreless Foundation 30ml,,60,45%
Maybelline Superstay Skin Tint Shade  77 With Vitamin C,,"2,500",No discount
Maybelline Lasting Fix Setting Spray,,"1,554",30%
Maybelline Fit Me Powder 330 Toffee,,"1,420",No discount
Micolor 5PCs Fit Me Matte Poreless Powder+Liquid Foundation+Primer+Finish Spray+Concealer& FREE MakeUp Bag,,899,10%
Maybelline SuperStay 30H Active Wear Foundation- 79 WARM CHESTNUT,,"2,400",No discount
Maybelline SuperStay 30H Active Wear Foundation- 64 CHESTNUT,,"2,400",No discount
Fashion Eyebrow Shaper Facail Hair Razors (3 Pcs),,229,43%
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz",,"1,200",40%
Garnier Day & Night Vitamin C Serum Routine Pack,,"2,550",40%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),,"1,170",20%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,,"1,001",23%
UNCOVER Green Tea Revitalising Cleanser,,"1,758",5%
"Dettol Antibacterial Soap SkinCare, 175g",,225,25%
Cosrx Advanced Snail Mucin 96 Power Essence,,"3,200",23%
Maybelline Superstay Skin Tint Shade  67 With Vitamin C,,"1,875",25%
Vaseline MEN Fast Absorbing Lotion 400ml + FREE 100ml Petroleum Jelly,,492,11%
Veet Veet Cream Normal 100g,,719,28%
Ard Alzaafran Mousuf Wardi Perfume 100ML,,"1,699",23%
Hair Clipper/Hair Trimmer/Shaving Machine-Gold,,351,81%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",,780,25%
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml,,874,35%
Revlon Ultra HD Vinyl Lip Polish- 910 Cherry On Top,,999,47%
Revlon ColorStay Makeup Combination/Oily Skin SPF15 30ml- Hickory,,"1,500",46%
Starlink Standard Actuated Kit,,"45,500",49%
Sunlight Solar 500 Watts Solar Panel Mono All Weather 500Watts Solar Panel  25 Years Warranty+ 10AH Solar Power Charge Controller,,"13,800",47%
"HP Refurbished EliteDesk 800 G1 Core I5 8GB 1TB HDD 3.2GHz SFF Desktop + 19"" Monitor Mouse Keyboard",,"23,999",31%
Dvee Organics Somali Qasil Powder,,400,20%
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner",,"2,499",24%
"Toshiba Canvio Basics 1TB Portable External Hard Drive USB 3.0, Black, (1YR WRTY)",,"9,000",50%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",,780,25%
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,,"1,138",35%
Jameson Jameson Irish Whiskey - 750 Ml,,"2,199",25%
"Midea MMO-MM720C2GXE(BK) , 20L Digital Microwave Oven , 700W - Black",,"8,499",35%
"Skyworth F80215MB Front Load 8kg, Automatic Washer - Tim Grey (1YR WRTY)",,"42,999",25%
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY) (1YR WRTY),,"16,499",28%
AILYONS E0-2001 20L Electric Rotisserie Oven Electric Oven With Grill Pan,,"3,899",39%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black",,"11,800",9%
Nunix AK-100 - 2 In 1 Blender With Grinding Machine - 1.5L,,"1,786",3%
"Samsung Galaxy A15, 6.5"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Blue Black",,"15,940",3%
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 mAh, 4G, Dual SIM - Starlit Black",,"12,080",7%
"Oale POP 8 - 6.6"", 128GB (64GB ROM + 64GB SD Card), 3GB RAM, 8MP, 5057mAh, 3G - Black",,"7,999",33%
"XIAOMI Redmi 13c, 6.47'',&nbsp; 128GB + 4GB RAM (Dual SIM) 5000mAh, 4G, Blue",,"12,490",11%
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Starry Black",,"8,940",11%
"XIAOMI Redmi A3x, 6.71"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black",,"11,820",2%
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black",,"13,690",9%
"Itel S24, 6.6'', 128GB + 4GB (Extended UPTO 8GB) RAM, 5000mAh, Dawn White (1YR WRTY)",,"14,150",12%
"Samsung Galaxy A55 5G, 6.6"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Awesome Lilac",,"48,280",7%
"Tecno Camon 30, 6.78"", 256GB + 8GB RAM (+8GB Extended), Dual SIM, 5000mAh, 4G, Iceland Basaltic Dark",,"29,060",11%
"Itel A60s, 6.6"", 128GB + 4GB RAM, Dual SIM, 5000mAh, 4G -?Shadow Black (1YR WRTY)",,"10,500",13%
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Luxurious Gold",,"8,940",11%
"XIAOMI Redmi 13C, 6.71""(4GB RAM+128GB Storage)5000mAh Dual Sim-Black",,"13,345",5%
"Oale HOT 40i -  6.6"" 128GB (64GB ROM + 64GB SD Card), 3GB RAM, 8MP, 5075mAh, 3G  - Gold",,"7,999",33%
"Itel 5609 - 1.77"" (Dual SIM) - Wireless FM, 2500mAh - Black (1YR WRTY)",,"1,790",11%
Starlink Standard Actuated Kit,,"45,500",49%
"Vitron HTC4388FS - 43"" Smart Android Frameless TV - Black (1 YR WRTY)",,"19,799",31%
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,,"1,138",35%
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue (1YR WRTY)",,"19,950",13%
AILYONS HD-199A Electric Dry Iron Box Silver & Black,,929,34%
Toshiba Refurbished Dynabook Portege X20W-D 12-inch X360 Touchscreen Intel Core I3-7100U Processor 8GB RAM 256GB SSD (6M WRTY),,"20,900",30%
Maybelline Superstay Skin Tint Shade  67 With Vitamin C,,"1,875",25%
"AILYONS FS-1609-K 16'' Inch Stand Fans, 5 Speed, 2PCS - White/Blue (1YR WRTY)",,"3,599",28%
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)",,"5,450",28%
Nunix Hair Red Blow Dryer With Beauty Accessories HD-01,,915,No discount
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,,"1,001",23%
Logitech M171 Wireless Mouse - Rose Pink (1YR WRTY),,"1,899",No discount
Maybelline Lasting Fix Setting Spray,,"1,554",30%
Maybelline Superstay Skin Tint Shade  63 With Vitamin C,,"1,875",25%
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml,,874,35%
"Skyworth 43E5500G, 43-inches Full HD 2024 Frameless Google TV, Black (1YR WRTY)",,"26,999",41%
"Amtec 43L12, 43"" FHD Smart Android TV, Netfix, Youtube, Bluetooth - Black (1 YR WRTY)",,"19,599",30%
"TCL 50"" P635 4K HDR Google TV - Black",,"41,099",18%
"Vitron HTC4388FS - 43"" Smart Android Frameless TV - Black (1 YR WRTY)",,"19,799",31%
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,,"18,820",29%
"Vision Plus VP8843SF - 43"" FHD Frameless Android OS Smart TV - Black (2YRs WRTY)",,"21,399",11%
"Skyworth 50SUE9500, 50-inches 4K QLED 2022 Frameless Smart Android TV, Black (1YR WRTY)",,"43,199",21%
Hisense 43A6K 43 inch 4K UHD Smart TV (2YRs WRTY),,"33,100",23%
"Gld 43"" Smart Frameless Full HD LED Television - Black.",,"20,543",32%
"Royal 43"" Smart Frameless Full HD LED Television - Black.",,"21,196",29%
"Amtec 65"" 4k  HDR Smart WebOS  LED TV, Frameless With Bluetooth & Dolby Audio.(1YR WRTY)",,"63,999",15%
"TCL 65"" P635 4K HDR Google TV - Black",,"81,399",10%
"Infinix InBook X2 - 14.0"", Intel Core i5, 8GB RAM, 512GB SSD - Windows 11 Home - Grey (1YR WRTY)",,"48,500",50%
"Hama 3-button Optical Wireless Mouse Mw-200 (134960), Anthracite/Black, (5YR WRTY)",,995,No discount
"Lenovo ThinkPad X390 Core i5-8th Gen-16GB Ram 256GB SSD Refurbished - 13"" screen- Black- win 11 pro",,"27,999",30%
"Hama Wave  Notebook Cooler (53049) Black, (5YR WRTY)",,"1,995",No discount
"Lenovo Refurbished X1 Carbon 14” Intel Core i5 8GB, 256GB SSD - Black",,"43,999",No discount
"Canyon Gaming Sensor 6 Button Mouse GM-321, (5YR WRTY)",,"2,995",No discount
"HP ELITEBOOK 1040 G7 X360 TOUCHSCREEN, Core i5 10TH GEN 16GB RAM 256GB SSD-REFURBLISHED -14""-Win 10-Silver",,"59,999",8%
"HP EliteBook 830 G6 Core I5-8th gen-8GB Ram- 256GB SSD- Refurbished- 13.3""-Silver-Win 11  Ultra-Slim",,"30,900",23%
"DELL Latitude 7280 6th Gen-Core I5-8GB Ram-256GB SSD-Refurbished- 13""-Black-Win 10 (6months WRTY)",,"18,999",32%
"HP  EliteBook 840 G5-Core I7, 8GB RAM, 256GB-8th Gen SSD-Refurbished-14""- Dos-Silver",,"37,999",16%
"HP Elitebook 820 Refurbished -Corei5 -4GB Ram-256GB Ssd-Dos-12"" Slim (6 Months WRTY)",,"20,999",42%
"HP Folio 1040 Touchscreen Refurbished Core I5-8GB RAM - 256GB SSD-14""-DOS-Silver (6 Months WRTY)",,"33,900",15%
"Lenovo Thinkpad T14, Core i5 10TH GEN 16GB RAM 256GB SSD-REFURBLISHED -14""-Win 11-Black",,"41,999",16%
HP Elite X2 G4 -8th Gen-Core I5-16GB RAM-256GB SSD- TouchScreen- Detachable Win 11-13''-Silver,,"40,999",18%
"HP 15s Laptop, Celeron N4120, 4GB RAM, 256GB SSD, 15.6"" HD Display, Windows 11 Pro, Silver+Bag+Mouse+Flash (1YR WRTY)",,"31,999",16%
VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),,"27,500",37%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),,"12,434",12%
"Hisense WFQP7012EVMT 7Kg Front Load Washing Machine,Silver (2YRs WRTY)",,"44,999",20%
AILYONS GS017 Gas Cooker Double Burner Stainless Steel Table Top,,"1,599",33%
"Midea MMO-MM7P012MZE(BK) , 20L Manual Microwave Oven , 700W - Black",,"7,299",34%
"Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow, (1YR WRTY)",,"1,549",48%
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY) (1YR WRTY),,"16,499",28%
Hisense Fridge 176 Liters With Dispenser REF176DR Single Door (2YRs WRTY),,"35,999",20%
"AILYONS GS014-4, 2 Burner Glass Top Gas Cooker & Infrared Double Burner, 1YR WRTY",,"2,349",29%
"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L - Black (1YR WRTY)",,"8,499",29%
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),,"26,799",26%
Hisense 116L Double Door Refrigerator RD-17DR4SA (2YRS WRTY),,"33,999",24%
"AILYONS GS014-5, 2 Burner Glass Top Gas Cooker & Infrared Double Burner, 1YR WRTY",,"2,349",29%
Hisense 206L Double Door Refrigerator RD-27DR4SA (2YRs WRTY),,"40,599",26%
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver (2YRs WRTY),,"20,799",37%
Rashnik RN-2451 Hot And Normal Stand Alone Dispenser (White&Blue),,"3,531",3%
Fashion Cream Big Round Mosquito Net-FREE SIZE.,,800,47%
Nunix Nunix Aluminium Pressure Cooker - Explosion Proof - 5 Litres - Silver,,"2,520",No discount
"Sundabest White Ceramic Plates 9"" (12097) (Set of 6)",,800,No discount
Sun King Home 40 Plus Solar Home Light System - Yellow,,"6,754",No discount
Sundabest Glass Jug (21114),,330,8%
Rashnik Rn-1145 Stainless Steel 5.7 Liters Electric Kettle,,"2,912",No discount
Nice One Stainless Steel Vacuum Flask High-Quality Thermos - 1.8 L - Silver,,859,57%
Nunix Double Deep Fryer,,"8,400",No discount
Silentnight Sinzia Medium-firm Spring Mattress,,"16,795",5%
Tornado 14Pcs Heavy Non-Stick Cooking Pot Sufuria Set,,"7,280",27%
HOMMY Maroon Portable Wardrobe 3 Column - Maroon Cover,,"2,590",35%
Nice One 6PCS 210ML High Quality Classy Whiskey/Wine/Water Glass,,499,38%
Solarmax 300 WATTS FULLKIT:300WATTS PANEL+200AH BATTERY+1000 WATTS INVERTER+30A CONTROLLER+4 BULBS+10M CABLE,,"22,726",52%
RichRipple 3GN Bluetooth Headsets Wireless Pods Pro Earpods Earphones,,558,32%
Fashion Men's Trendy High Top Sneakers - Brown,,"1,490",49%
Kitchens Tongs Stainless Steel Double Sided For BBQ Cooking,,471,50%
Fashion Women's Shoes Sandals Heels Slippers Ladies Shoes Casual Shoes Heeled-sandals,,750,50%
RichRipple Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mice,,403,45%
Nova 2 In 1 Hair Straightener Curling Iron-Gold.,,670,49%
128 GB Metal  Usb Flash Drive  Adapter Cable  2 In 1 Set,,690,24%
T&G TG117 Portable Bluetooth Wireless Speaker Outdoor Speaker Bluetooth Audio,,980,35%
Fashion Sneakers Mesh Sports Shoes For Men-black,,"1,199",25%
Women's Four-piece Gold Bracelet Bracelet Set,,552,45%
Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,,685,44%
Fashion Ultra Thin Stainless Steel Mesh Belt Quartz Business Watch,,539,46%
Ubeator 2-in-1 Hot-Air Hair Styling Comb Straightener Hair Brush blow dry hair dryer Hot Brush Flat Iron,,"1,688",33%
World Map Pattern Mouse Pad 80*30cm Soft Rubber,,366,48%
Pro3 In-ear Wireless Sports Headphones Noise Reduction Stereo Headphones,,559,44%
Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,,650,49%
Fashion Breathable Fashion Soft Soled Canvas Shoes-blue,,790,34%
Fashion Men Loafers Shoes Casual Pu Leather Shoes Sneaker Shoes Black,,480,48%
Fashion Breathable Lightweight Student Sneakers Casual Comfortable Men's Fashion Running Shoes,,590,40%
Adidas Widewalk M Men Running Shoes,,"3,290",67%
Breathable Mesh Casual Men Sneakers Footwear Running Shoes,,550,50%
Adidas Adilette Aqua Slides Unisex,,"1,999",57%
Fashion Lace Up Sneakers Men's Shoes-Black,,540,45%
Fashion Lace Up Sneakers Men's Shoes-Black,,540,45%
Fashion Lace Up Sneakers Men's Shoes-Black,,590,34%
Fashion Lace Up Sneakers Men's Shoes-Black Gold,,540,39%
Fashion Lace Up Sneakers Men's Shoes-Black Green,,486,45%
Fashion Flyweaving Men's Shoes-black,,799,18%
Fashion Men's Casual Shoes Loafers & Slip-Ons,,494,55%
Fashion Men's Casual Shoes Loafers & Slip-Ons Sneakers,,599,54%
Fashion 2024 Women Shoes Sandals Heels Slippers Ladies Shoes Casual Shoes,,751,44%
Fashion Ladies Sneaker Shoes Causal Shoes Buy A Size Larger Than Usual White,,950,37%
Fashion 2024 Women Shoes Sandals Heels Slippers Ladies Shoes Casual Shoes,,791,44%
Adidas Streetahead W Women Running Shoes,,"3,841",65%
Fashion 2024 Women Shoes Sports Ladies Shoes Sneakers,,491,44%
Fashion Women Casual Shoes Thick Heell Flat Shoes For Female Low Heel Loafers Shoes,,500,38%
Fashion 2024 Women Shoes Sports Ladies Shoes Sneakers,,521,45%
Fashion Ladies Canvas Shoes Casual Shoes with Flower Pattern Laceup Shoes,,699,42%
Fashion 2024 Women Shoes Sports Ladies Shoes Sneakers,,491,44%
Adidas Adilette Aqua Slides Women,,"1,999",57%
Fashion 2024 Women Shoes Sports Ladies Shoes Sneakers,,491,44%
Fashion 2024 Women Shoes Sports Ladies Shoes Sneakers,,491,44%
Fashion 2024 Women's New Classic Fashion Sports Casual Shoes - Pink,,771,48%
Fashion Lace Up Sneakers Women's Shoes-Black,,540,39%
Fashion Lace Up Sneakers Women's Shoes-Black,,590,40%
